dataset,method,pearson,spearman
piecewise_ar3,Vanilla SHAP,0.05136707610873106,0.0019160813836748886
piecewise_ar3,TimeShap,0.0892691227519765,0.02048738791984897
piecewise_ar3,Rolling SHAP,0.39484075855350587,0.36334973698951983
piecewise_ar3,Adaptive (Max),0.029941518473450397,0.1265136641744385
piecewise_ar3,Adaptive (Mean),0.5386972698969986,0.5883847508562661
piecewise_ar3,Adaptive SHAP,0.5968457628174961,0.5638343640539141
piecewise_ar3,Adaptive (Smoothed),0.6001698306089837,0.5683973994698341
arx_rotating,Vanilla SHAP,0.16313348467985833,0.24796327319500666
arx_rotating,TimeShap,0.07673639028139058,0.1285928235898169
arx_rotating,Rolling SHAP,0.200191927035543,0.2049890790130828
arx_rotating,Adaptive (Max),0.24637053265760742,0.4136520556936601
arx_rotating,Adaptive (Mean),0.34034709137956926,0.45680319531121755
arx_rotating,Adaptive SHAP,0.06752044378915892,0.16307490058789567
arx_rotating,Adaptive (Smoothed),0.07096836795711223,0.16823574088156154
trend_season,Vanilla SHAP,0.12675640134991353,0.04729868209684167
trend_season,TimeShap,0.21633346767516215,0.2197147091981179
trend_season,Rolling SHAP,0.11742043283401661,0.09794959873572388
trend_season,Adaptive (Max),0.056620774893572264,0.07354634398525717
trend_season,Adaptive (Mean),0.3612848845658152,0.33184591577475636
trend_season,Adaptive SHAP,0.3768353977120231,0.36342296298781673
trend_season,Adaptive (Smoothed),0.37542180934412506,0.36212772257711756
spike_process,Vanilla SHAP,0.04640783579321593,0.014391897388047584
spike_process,TimeShap,0.23233405168448645,0.0056532258653141775
spike_process,Rolling SHAP,0.49777168294228424,0.3734980710277283
spike_process,Adaptive (Max),0.30074293803867735,0.2746487245089011
spike_process,Adaptive (Mean),0.4934905355782615,0.4177055361592478
spike_process,Adaptive SHAP,0.013263313623055457,0.001355255943478164
spike_process,Adaptive (Smoothed),0.007627071775950003,0.004493242232640919
garch_regime,Vanilla SHAP,0.07584918247979427,0.3821399066594443
garch_regime,TimeShap,0.011761053090329616,0.06616874997773302
garch_regime,Rolling SHAP,0.29977238755604596,0.43621123622901825
garch_regime,Adaptive (Max),0.5172172789454993,0.7053223386321494
garch_regime,Adaptive (Mean),0.45042873530612904,0.5962845272449303
garch_regime,Adaptive SHAP,0.0847085337079345,0.13268036835469713
garch_regime,Adaptive (Smoothed),0.08855050994245198,0.13861141879542907
